id,subject,unit,topic,difficulty,blooms,marks,type,question,options,answer
DB_L3,DBMS,3,Normalization,H,Analyze,10,LA,Explain 1NF, 2NF, 3NF with examples.,,Explanation
DB_L4,DBMS,5,Recovery,H,Analyze,10,LA,Explain log-based recovery.,,Explanation
DB_L5,DBMS,3,SQL,H,Analyze,10,LA,Explain subqueries with examples.,,Explanation
CN_M1,CN,1,OSI,E,Remember,1,MCQ,How many layers in OSI?,"[""5"",""6"",""7"",""8""]",7
CN_M2,CN,1,Layers,E,Remember,1,MCQ,Which layer handles routing?,"[""Network"",""Data Link"",""Transport"",""Session""]",Network
CN_M3,CN,3,TCP,E,Remember,1,MCQ,Which protocol is connection-oriented?,"[""TCP"",""UDP"",""ARP"",""ICMP""]",TCP
CN_M4,CN,3,Transport,E,Remember,1,MCQ,Which field controls flow in TCP?,"[""Window Size"",""TTL"",""Checksum"",""Offset""]","Window Size"
CN_M5,CN,4,IP,E,Remember,1,MCQ,What is the size of IPv4 address?,"[""32 bits"",""64 bits"",""128 bits"",""16 bits""]","32 bits"

CN_S1,CN,2,Routing,M,Apply,2,SA1,Explain distance vector routing.,,Explanation
CN_S2,CN,2,Routing,M,Apply,2,SA1,Explain link state routing.,,Explanation
CN_S3,CN,1,Layers,M,Understand,2,SA1,Differentiate OSI and TCP/IP.,,Explanation
CN_S4,CN,5,Security,M,Understand,2,SA1,Define firewall.,,Definition
CN_S5,CN,4,IP,M,Understand,2,SA1,Define subnetting.,,Definition
CN_L1,CN,3,TCP,H,Analyze,10,LA,Explain TCP congestion control.,,Explanation
CN_L2,CN,3,TCP,H,Analyze,10,LA,Explain 3-way handshake.,,Explanation
CN_L3,CN,2,Routing,H,Analyze,10,LA,Explain Dijkstra’s algorithm.,,Explanation
CN_L4,CN,5,Security,H,Analyze,10,LA,Explain network security threats.,,Explanation
CN_L5,CN,4,IP,H,Analyze,10,LA,Explain IPv4 vs IPv6 differences.,,Explanation
SE_M1,SE,1,Models,E,Remember,1,MCQ,Which model is linear?,"[""Waterfall"",""Agile"",""RAD"",""Spiral""]",Waterfall
SE_M2,SE,1,Models,E,Remember,1,MCQ,Which SDLC model is iterative?,"[""Agile"",""Waterfall"",""RAD"",""V-model""]",Agile
SE_M3,SE,4,Testing,E,Remember,1,MCQ,Which test checks each module?,"[""Unit"",""Integration"",""System"",""Acceptance""]",Unit
SE_M4,SE,4,Testing,E,Remember,1,MCQ,Regression testing checks for?,"[""Bugs after changes"",""UI errors"",""Network delays"",""Database load""]","Bugs after changes"
SE_M5,SE,5,SRS,E,Remember,1,MCQ,SRS stands for what?,"[""Software Requirements Specification"",""System Record Sheet"",""Soft Resource Spec"",""None""]","Software Requirements Specification"
SE_S1,SE,2,Requirements,M,Understand,2,SA1,Define functional requirement.,,Definition
SE_S2,SE,2,Requirements,M,Understand,2,SA1,Define non-functional requirement.,,Definition
SE_S3,SE,3,Design,M,Apply,2,SA1,What is modular design?,,Explanation
SE_S4,SE,3,Design,M,Apply,2,SA1,What is coupling?,,Definition
SE_S5,SE,3,Design,M,Apply,2,SA1,What is cohesion?,,Definition
SE_L1,SE,3,Design,H,Analyze,10,LA,Explain architectural design.,,Explanation
SE_L2,SE,4,Testing,H,Analyze,10,LA,Explain black box vs white box testing.,,Explanation
SE_L3,SE,1,Models,H,Analyze,10,LA,Explain RAD model.,,Explanation
SE_L4,SE,1,Models,H,Analyze,10,LA,Explain spiral model.,,Explanation
SE_L5,SE,5,SRS,H,Analyze,10,LA,Explain SRS components in detail.,,Explanation
